October 2022: Table 1
;Margarine 500g;US$1,10 ;$41 800.00;US$1,20 ;$15 960.00;US$1,20 ;$7 866.00;US$1,20 ;$6 954.00;US$1,20 ;$4 104.00;US$1,20 ;US$1 254.00;;
;Matches pack of 10 boxes;US$0,30 ;$11 400.00;US$0,35 ;$4 655.00;US$0,30 ;$1 966.50;US$0,50 ;$2 897.50;US$0,50 ;$1 710.00;US$0,50 ;US$522.50;;
;Mayonnaise 750g;US$2,50 ;$95 000.00;US$2,60 ;$34 580.00;US$2,50 ;$16 387.50;US$2,50 ;$14 487.50;US$2,80 ;$9 576.00;US$2,50 ;US$2 612.50;;
;Mealie-meal 10kg;US$6,00 ;$228 000.00;US$6,50 ;$86 450.00;US$4,00 ;$26 220.00;US$3,50 ;$20 282.50;US$5,50 ;$18 810.00;US$5,50 ;US$5 747.50;;
;Mealie-meal Refined 10kg;US$6,50 ;$247 000.00;US$7,50 ;$99 750.00;US$6,00 ;$39 330.00;US$5,50 ;$31 872.50;US$6,10 ;$20 862.00;US$6,00 ;US$6 270.00;;
;Milk 1l;US$1,50 ;$57 000.00;US$1,30 ;$17 290.00;US$1,30 ;$8 521.50;US$1,30 ;$7 533.50;US$1,20 ;$4 104.00;US$1,20 ;US$1 254.00;;
;Peanut butter 375ml;US$1,00 ;$38 000.00;US$1,00 ;$13 300.00;US$1,00 ;$6 555.00;US$0,90 ;$5 215.50;US$1,00 ;$3 420.00;US$1,20 ;US$1 254.00;;
;Petroleum Jelly 300ml;US$2,00 ;$76 000.00;US$2,00 ;$26 600.00;US$1,80 ;$11 799.00;US$1,50 ;$8 692.50;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Rice white/Long grain;US$2,30 ;$87 400.00;US$2,30 ;$30 590.00;US$1,80 ;$11 799.00;US$1,60 ;$9 272.00;US$1,60 ;$5 472.00;US$1,70 ;US$1 776.50;;
;Salt 1kg;US$0,50 ;$19 000.00;US$0,50 ;$6 650.00;US$0,50 ;$3 277.50;US$0,45 ;$2 607.75;US$0,50 ;$1 710.00;US$0,50 ;US$522.50;;
;Sanitary Pads 10s/8s;US$1,00 ;$38 000.00;US$1,00 ;$13 300.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Scouring powder 500g;US$0,30 ;$11 400.00;US$0,30 ;$3 990.00;US$0,30 ;$1 966.50;US$0,30 ;$1 738.50;US$0,30 ;$1 026.00;US$0,30 ;US$313.50;;
;Shoe polish 100ml;US$2,00 ;$76 000.00;US$2,00 ;$26 600.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Shoe polish 50ml;US$1,00 ;$38 000.00;US$1,00 ;$13 300.00;US$0,50 ;$3 277.50;US$0,50 ;$2 897.50;US$0,50 ;$1 710.00;US$0,50 ;US$522.50;;
;Soup Usavi Mix 50g;US$0,50 ;$19 000.00;US$0,50 ;$6 650.00;US$0,50 ;$3 277.50;US$0,50 ;$2 897.50;US$0,50 ;$1 710.00;US$0,50 ;US$522.50;;
;Stasoft Refill (500ml);US$3,80 ;$144 400.00;US$3,60 ;$47 880.00;US$3,50 ;$22 942.50;US$2,80 ;$16 226.00;US$2,80 ;$9 576.00;US$3,00 ;US$3 135.00;;
;Sugar 2kg;US$2,80 ;$106 400.00;US$2,60 ;$34 580.00;US$2,40 ;$15 732.00;US$2,80 ;$16 226.00;US$2,10 ;$7 182.00;US$2,00 ;US$2 090.00;;
;Surface Cleaner 750ml;US$1,80 ;$68 400.00;US$1,80 ;$23 940.00;US$1,80 ;$11 799.00;US$1,80 ;$10 431.00;US$1,80 ;$6 156.00;US$1,80 ;US$1 881.00;;
;Tea 100 tea bags;US$3,20 ;$121 600.00;US$3,20 ;$42 560.00;US$2,30 ;$15 076.50;US$2,30 ;$13 328.50;US$2,00 ;$6 840.00;US$2,00 ;US$2 090.00;;
;Thai Rice 2kg;US$2,70 ;$102 600.00;US$2,70 ;$35 910.00;US$2,40 ;$15 732.00;US$2,20 ;$12 749.00;US$2,20 ;$7 524.00;US$2,20 ;US$2 299.00;;
;Tinned beans 410g;US$1,00 ;$38 000.00;US$1,00 ;$13 300.00;US$0,90 ;$5 899.50;US$0,90 ;$5 215.50;US$0,90 ;$3 078.00;US$0,90 ;US$940.50;;
;Tinned fish 155g;US$1,00 ;$38 000.00;US$1,00 ;$13 300.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Tissues (Pack of 4);US$1,50 ;$57 000.00;US$1,50 ;$19 950.00;US$2,00 ;$13 110.00;US$2,00 ;$11 590.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Toilet Cleaner 500ml;US$1,80 ;$68 400.00;US$1,80 ;$23 940.00;US$1,80 ;$11 799.00;US$1,80 ;$10 431.00;US$1,80 ;$6 156.00;US$1,80 ;US$1 881.00;;
;Toothpaste 100ml;US$1,10 ;$41 800.00;US$1,10 ;$14 630.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Washing Powder 1kg;US$2,00 ;$76 000.00;US$2,00 ;$26 600.00;US$2,00 ;$13 110.00;US$2,00 ;$11 590.00;US$2,00 ;$6 840.00;US$2,30 ;US$2 403.50;;
;Washing Powder 2kg;US$3,50 ;$133 000.00;US$4,00 ;$53 200.00;US$4,00 ;$26 220.00;US$4,00 ;$23 180.00;US$4,00 ;$13 680.00;US$4,20 ;US$4 389.00;;
